datafolder: ./izhikevich_data/ expfolder: exc4_inh1_nodiag_withinp_rand/p2/inpvar5_S5_t5000/seed5/ datafile: v_normed_alltimes.txt data: /remote-home/share/dmb_nas/konglingbai/causality/data/fMRI/timeseries28.csv groundtruth: /remote-home/share/dmb_nas/konglingbai/causality/data/fMRI/sim28_gt_processed.csv seed: 11 train_ratio: 0.6 val_ratio: 0.2 seq_len: 10 loss: mse prednstep: 1 attn_enc_self_loc: full attn_enc_self_glb: none attn_dec_self_loc: none attn_dec_self_glb: none attn_dec_cross_loc: full attn_dec_cross_glb: full max_epoch: 50 device: cuda:5 patience: 10 outdir: . outname: best_model d_model: 100 d_qkv: 8 n_heads: 10 ed_layers: 1 time_emb_dim: 1 dropout_emb: 0.1 dropout_ff: 0.1 batch_size: 16 base_lr: 0.0005 l2_coeff: 0.001 warmup_steps:  decay_factor: 0.5 
epoch    train    val    elapsed_sec
1    6.716177225112915    6.8025829792022705    0.07267999649047852
2    5.385145902633667    4.947360992431641    0.06319904327392578
3    5.08140754699707    6.497281312942505    0.060297489166259766
4    4.842984676361084    5.233670234680176    0.06661629676818848
5    4.73073148727417    4.720264911651611    0.06080889701843262
6    5.080863952636719    5.414320468902588    0.06232285499572754
7    4.722713470458984    5.579341173171997    0.05760049819946289
8    4.505974173545837    4.9604332447052    0.05926394462585449
9    4.853754281997681    4.961881399154663    0.05766940116882324
10    3.7767351865768433    3.865986466407776    0.0519566535949707
11    4.139415979385376    4.368773937225342    0.05788755416870117
12    3.172286033630371    5.370858430862427    0.06357192993164062
13    3.6869784593582153    3.3016921877861023    0.05411076545715332
14    4.61301064491272    4.371374607086182    0.05278897285461426
15    3.649542212486267    4.008477210998535    0.06546235084533691
16    2.955303907394409    4.97101092338562    0.06123781204223633
17    3.5579365491867065    3.594806671142578    0.06693768501281738
18    3.0058412551879883    3.616604804992676    0.06928896903991699
19    2.806765913963318    4.303342580795288    0.060471296310424805
20    3.428381562232971    5.160820960998535    0.05752372741699219
21    3.3155781030654907    3.835188627243042    0.05239391326904297
22    3.0993376970291138    4.445708990097046    0.060858964920043945
23    2.268747329711914    5.505100250244141    0.06058049201965332
early stopped at epoch 23 
best result at epoch 13 train 3.6869784593582153 val 3.3016921877861023 
