datafolder: ./izhikevich_data/ expfolder: exc4_inh1_nodiag_withinp_rand/p2/inpvar5_S5_t5000/seed5/ datafile: v_normed_alltimes.txt data: /remote-home/share/dmb_nas/konglingbai/causality/data/fMRI/timeseries28.csv groundtruth: /remote-home/share/dmb_nas/konglingbai/causality/data/fMRI/sim28_gt_processed.csv seed: 17 train_ratio: 0.6 val_ratio: 0.2 seq_len: 10 loss: mse prednstep: 1 attn_enc_self_loc: full attn_enc_self_glb: none attn_dec_self_loc: none attn_dec_self_glb: none attn_dec_cross_loc: full attn_dec_cross_glb: full max_epoch: 50 device: cuda:5 patience: 10 outdir: . outname: best_model d_model: 100 d_qkv: 8 n_heads: 10 ed_layers: 1 time_emb_dim: 1 dropout_emb: 0.1 dropout_ff: 0.1 batch_size: 16 base_lr: 0.0005 l2_coeff: 0.001 warmup_steps:  decay_factor: 0.5 
epoch    train    val    elapsed_sec
1    4.934167146682739    3.9080851078033447    0.06786179542541504
2    5.017928600311279    7.587306261062622    0.057703256607055664
3    5.45320463180542    4.483540773391724    0.06275033950805664
4    5.404911279678345    5.146719455718994    0.06124520301818848
5    3.805524468421936    6.206478118896484    0.0659334659576416
6    5.293053388595581    6.772174596786499    0.06447100639343262
7    5.6767988204956055    6.149611711502075    0.07064175605773926
8    4.217678070068359    4.39341676235199    0.0674591064453125
9    3.5185106992721558    3.454595923423767    0.0555722713470459
10    4.6757519245147705    4.221233248710632    0.06807708740234375
11    4.5391905307769775    5.4216148853302    0.0630347728729248
12    3.903517961502075    5.327221870422363    0.059905052185058594
13    4.098615050315857    4.379157066345215    0.07099175453186035
14    3.9118975400924683    3.486465096473694    0.06917572021484375
15    3.659030318260193    4.446935176849365    0.06929540634155273
16    3.054874300956726    3.503440737724304    0.06365680694580078
17    2.94389009475708    3.5034316778182983    0.06715774536132812
18    4.1060521602630615    3.748431921005249    0.06068253517150879
19    2.9056442975997925    3.9667659997940063    0.06629610061645508
early stopped at epoch 19 
best result at epoch 9 train 3.5185106992721558 val 3.454595923423767 
